epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7535,4.07275,8.82744,0.01366,0.00019,0.01031,2e-05,0,4.66161,19.074,0.02339,0.0004,0.0004,0.0004
2,46.3711,3.7284,7.25115,0.01176,0.00046,0.02504,1e-05,0,4.63328,18.9139,0.02301,0.00080647,0.00080647,0.00080647
3,55.9167,3.33516,5.21939,0.00905,0.00022,0.01178,0,0,4.70753,16.8261,0.02357,0.00119908,0.00119908,0.00119908
4,64.6603,2.96919,3.9829,0.00724,0,0,0,0,4.83094,6.39839,0.02705,0.00157783,0.00157783,0.00157783
5,74.2155,2.74115,3.28656,0.00645,0.00077,0.03976,6e-05,1e-05,4.54587,4.96097,0.01869,0.001868,0.001868,0.001868
6,83.8953,2.67944,2.73357,0.006,0.01215,0.32842,0.02293,0.0045,3.69443,3.38208,0.01248,0.001835,0.001835,0.001835
7,93.0965,2.52193,2.42222,0.00545,0.28565,0.23711,0.16206,0.03487,3.75382,13.5351,0.01282,0.001802,0.001802,0.001802
8,102.897,2.56869,2.1473,0.00543,0.35893,0.32106,0.24684,0.08196,2.99809,2.74565,0.00808,0.001769,0.001769,0.001769
9,112.873,2.49282,1.97468,0.00496,0.47602,0.40501,0.35809,0.14184,2.95438,2.01202,0.00706,0.001736,0.001736,0.001736
10,122.973,2.42983,1.81981,0.00473,0.52906,0.42355,0.40165,0.1701,2.64628,nan,0.00622,0.001703,0.001703,0.001703
11,132.125,2.25773,1.75771,0.00433,0.59382,0.46097,0.47589,0.2245,2.54436,1.78783,0.0059,0.00167,0.00167,0.00167
12,141.878,2.2567,1.62562,0.00417,0.55479,0.46539,0.47923,0.20685,2.49091,1.65917,0.00565,0.001637,0.001637,0.001637
13,151.543,2.22556,1.55803,0.00414,0.59142,0.49485,0.499,0.21996,2.66414,1.70414,0.00604,0.001604,0.001604,0.001604
14,161.128,2.20446,1.48825,0.00396,0.55171,0.51546,0.51524,0.22651,2.33047,1.51301,0.00492,0.001571,0.001571,0.001571
15,170.277,2.05871,1.39339,0.00372,0.57086,0.6215,0.59075,0.27613,2.24893,1.32202,0.00463,0.001538,0.001538,0.001538
16,180.036,2.03818,1.37148,0.00355,0.59405,0.60559,0.60153,0.30822,2.20751,1.42693,0.00461,0.001505,0.001505,0.001505
17,189.945,2.04049,1.32161,0.00353,0.62194,0.57879,0.58449,0.25369,2.23393,1.49905,0.00461,0.001472,0.001472,0.001472
18,199.503,2.00108,1.32676,0.00346,0.70899,0.61356,0.67061,0.35458,2.07298,1.25566,0.00409,0.001439,0.001439,0.001439
19,209.012,1.8846,1.23339,0.00328,0.67387,0.60558,0.64738,0.33057,2.16928,1.27851,0.00417,0.001406,0.001406,0.001406
20,218.785,1.96129,1.20502,0.00338,0.68513,0.6053,0.65938,0.33466,2.05714,1.33749,0.00409,0.001373,0.001373,0.001373
21,228.592,1.80676,1.18219,0.00306,0.73987,0.63253,0.69617,0.41322,1.94142,1.15777,0.00385,0.00134,0.00134,0.00134
22,237.865,1.75883,1.16649,0.00303,0.70112,0.63623,0.69568,0.37657,2.01974,1.19183,0.00382,0.001307,0.001307,0.001307
23,247.384,1.80469,1.12791,0.00304,0.75705,0.61496,0.71456,0.40596,1.97176,1.14035,0.0038,0.001274,0.001274,0.001274
24,257.188,1.7326,1.06908,0.00284,0.72254,0.64359,0.71359,0.40678,1.82716,1.09881,0.00348,0.001241,0.001241,0.001241
25,267.052,1.66616,1.0248,0.00275,0.71022,0.6215,0.69057,0.36446,2.00926,1.21071,0.00397,0.001208,0.001208,0.001208
26,276.056,1.60242,1.00619,0.00261,0.7763,0.65243,0.73352,0.42456,1.9055,1.07359,0.00355,0.001175,0.001175,0.001175
27,286.06,1.57819,0.99531,0.0026,0.77678,0.67747,0.74926,0.44398,1.76115,1.03997,0.00331,0.001142,0.001142,0.001142
28,295.939,1.64047,0.98561,0.00265,0.75518,0.65873,0.75255,0.46288,1.69911,1.03701,0.00316,0.001109,0.001109,0.001109
29,305.48,1.63583,0.977,0.00263,0.75953,0.67305,0.74893,0.43647,1.86579,1.04856,0.00357,0.001076,0.001076,0.001076
30,314.833,1.59703,0.97539,0.0026,0.80031,0.69648,0.77341,0.49969,1.71454,0.98781,0.00309,0.001043,0.001043,0.001043
